"registration_id","hacker_id","username","nickname","github_raw","registered_at"
175014,330962,"U_590750f76a38cf","hacker98f3d62","",1784878977
175016,298435,"madhesh07","Madhesh","madhesh60",1784880462
175023,339442,"solution_o1","solution","solutionkanu12",1784889768
175032,343282,"U_1cbfacfc1c43a0","Abd00lmalik","Abd00lmalik",1784903086
175035,232009,"U_4dc2d6dfc9b295","hacker1614e46","Agilgeorge",1784904163
175053,74146,"Oxaje","0xaje","0xaje",1784935046
175054,343083,"Zek_eth","Zek","ezekiel6262",1784940868
175057,166740,"U_b0da43a8aaeef1","0xhaz","0xhaz",1784941537
175060,241829,"venturaa","Krisna Putra Purnomo","KrisnaPutraP",1784950171
175072,194444,"vanam0224","vanam","manav2701",1784970568
175075,343212,"pandey456","Adarsh Pandey","Pandey456",1784976116
175077,130695,"enliven","enliven","enliven17",1784976880
175083,226210,"U_2092350512158","shivanshrathore","asteroiddestroyer911",1784984690
175090,340294,"mathieuweill","Mathieu Weill","MathieuDWeill",1784991779
175091,41970,"altcoindaddy","Altcoin Daddy","AltcoinDaddy",1784991939
175095,343352,"lazydevpro","lazydevpro","lazydevpro",1784993153
175099,343247,"U_8723c93b27a0ca","Anant-0705","Anant-0705",1784997070
175109,343367,"U_f58c1eb4e6ede5","Lalaji","",1785008464
175112,251938,"an0nn43x","4n0nn43x","4n0nn43x",1785013776
175119,299627,"jrkenny","Jrkenny","Jr-kenny",1785034545
175128,343398,"U_dccc129c32bf5e","liutongxian","liutongxian",1785057028
175132,329080,"Ear_knee","hacker20d8aa7","Noah-Ian",1785062788
175141,283357,"U_5d7b3541dcc9db","darrojen","darrojen",1785068111
175150,343410,"U_3f839fd1fa7b4b","KKKcjy","KKKcjy",1785068836
175155,341301,"Alinjfz","Ali","alinjfz",1785070463
175162,120734,"U_db4ed11b7dbb8c","gracetemmy","gracetemmy",1785076802
175167,321884,"cforcheese","cheeseee","Chetna716",1785080312
175169,343429,"flarenetworkflr","FlareClaw","",1785081919
175172,67106,"caelum0x","caelum0x","caelum0x",1785082831
175188,235386,"Bee6ix",".env.local","bellobambo",1785100715
175194,343131,"Heismaximun","Maximun","Maximun8",1785109050
175210,332681,"yousun","yousunlotif-bappy","yousunlotif-bappy",1785128422
175211,325521,"andy00l","Andy00L","Andy00L",1785131293
175212,251424,"rey_02","Shreyas","Shreyassp002",1785132436
175214,98364,"ozk","oscar","olahworld",1785134646
175217,174261,"U_51be4075896119","hacker3c99b83","hien-p",1785140967
175220,65050,"nikku","Nikku.Dev","Kali-Decoder",1785144615
175222,103851,"mdlog","mdlog","mdlog",1785145847
175229,327263,"mikemoulder","MikeMoulder","MikeMoulder",1785151088
175233,343542,"U_765f4b8c1f9c91","Fexx","fexx301",1785154534
175235,325859,"ud_divine","0x_divine","divineudoka12",1785154862
175237,341851,"Zubbycrypt","Zubby Crypt","norbert351",1785156164
175241,323913,"Esimuda","Esimuda","esimuda",1785158904
175244,324315,"RobGT0","Rob","r0bops",1785160494
175245,343556,"U_28854fe19ad48d","Tushar Pamnani","tusharpamnani",1785160513
175248,342746,"U_55f48a1e347cc4","Justice","JusticeSol",1785162224
175249,224039,"Maverick001","Maverick001","abdussalam-mustapha",1785162328
175253,343565,"nostartuper","Ivan Lindberg","marshersusanin",1785165114
175260,122472,"U_465029b8dbd08","Librapraise","librapraise",1785170874
175266,255567,"ayodejiades","AYODEJI","ayodejiades",1785174429
175267,274506,"U_715bfac58664d5","hacker122f01f","Ay-obami",1785176007
175268,343541,"yasookeh","yasookeh","Blacksaviour",1785176055
175271,218088,"ignite3d","Harsh","",1785177690
175272,284621,"Jemiiah","Jeremiah","Jemiiah",1785178706
175273,299537,"Rogersterkaa","Rogersterkaa","rogersterkaa",1785183069
175274,343609,"zeeesol","zeeonchain","zeeonchain",1785183270
175276,72292,"akashbiswas","Akash Biswas","akashbiswas0",1785184333
175278,114340,"U_d131d53e445b3a","Bratipah","Bratipah",1785186365
175280,326541,"U_1c468bc3f3b299","0xakaish","avishrakshe",1785186559
175284,331248,"U_ee5f8cb513c1f9","hacker81f41f5","wolf1276",1785188458
175285,343616,"swaru_20","swarupa","swarupasaha2005-hue",1785189628
175290,343623,"Liquid_ice","Liquid Ice","Leequidice",1785197078
175296,326746,"U_4839420f8fbe98","hacker60e13df","DeewakarBora",1785208942
175297,313540,"alpha3phyro","Madesh Vaithya","bot80-alt",1785216704
175298,313509,"harishv06","Harish V","",1785216704
175299,342674,"jeyaguru_j","Jeyaguru J","",1785216704
175300,313581,"U_ab0e89384ee9ae","harishraj.S","",1785216704
175301,229252,"dhivyapraban","dhivyapraban","dhivyapraban",1785216704
175308,343455,"U_125e5c8f902ec2","GreatSage-dev","GreatSage-dev",1785218470
175312,343521,"U_e0d6f8363f25d5","hacker3dc729b","KennyGodman",1785226806
175313,202342,"U_4d2f222ab55732","JoshSolvesProblems","Jitimay",1785226889
175314,326517,"midasbal","midasbal","midasbal",1785226992
175315,194656,"dineshtalwadker","Dinesh Talwadker","dinxsh",1785228465
175316,343661,"Marc-Dvci","Marc-Dvci","Marc-Dvci",1785229899
175317,340542,"OliverStevenson","Oliver Stevenson","Oliverknowledge",1785230105
175319,343639,"darkty0x","Daisuke Hiroki","darkty0x",1785231613
175322,326044,"Estarkunmi","Estar","kunmiesther",1785233013
175331,328114,"sniperchief","Chief","sniperchief",1785247177
175339,330006,"U_8ecb2e50ebde7b","Arpan Roy","arg0506",1785250080
175342,343493,"U_f1db250a767c45","Sparexonzy","Sparexonzy95",1785253917
175344,258704,"U_551e401944a54f","hacker6a5b8a2","kenny-svg",1785254891
175345,343368,"PopularAnon","Popular_Anon","Ade-akanfe",1785256695
175349,4299,"manyrios56","manyrios56","ManyRios",1785258233
175350,343677,"TokenScanSD","TokenScanSD","wahyudi100715",1785258863
175351,214056,"sugu","Suganthan","Suganthan96",1785259804
175352,245914,"suyash_444","suyash_007","suyash242004",1785261384
175357,340263,"FlareForward","FlareForward","FlareForward",1785272564
175361,188875,"roydevelops","snehendu098","snehendu098",1785285351
175365,343723,"kingofthemult","KingOfTheMultiverse","KingOfTheMultiverse",1785295722
175380,342825,"U_dc4a332f434449","Jett","Jett191",1785315058
175382,278942,"shreyas1234","Shreyas","shreyas-sovani",1785318657
